surface,role,action,ui_visible,route_allowed,api_allowed,object_scope,expected,actual,evidence,verdict
"/admin","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin","Marketing Staff","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultation-availability","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultation-availability","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultation-availability","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultation-availability","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
